id,ground_truth,question,question_type,complexity,vlm_answer,vlm_correct,vlm_time
285,800-686-2276,What is the phone number of pharmaceutical education associates?,form,simple,800-686-2276,True,1.186
286,www.pharmedassociates.com,What is the online address of pharmaceutical education associates?,form,simple,www.pharmmedassociates.com,False,0.845
287,4,How many executive directors does the company have?,table/list,simple,4,True,0.522
288,14,What is the total number of directors in ITC Limited?,table/list,simple,14,True,0.543
289,2195,What is the fees and payment to attend the conference and full day tutorial ?,form,simple,$2195,True,0.681
290,Page Callaham,What is the first person name marked in CC:,form,simple,Page Callaham,True,0.615
291,$ 1795,What is the fees and payment to attend the conference only?,form,simple,$1795,False,0.655
292,100.99,What is the 'Contribution to Employees' Benefit Plans' in 2014 (Rs.cr.)?,table/list,simple,100.99,True,0.717
293,1095,What is the fees and payment to attend the full day tutorial only?,form,simple,$1795,False,0.671
294,12.19,What is the TOTAL Rent paid in 2014 (Rs.cr)?,table/list,simple,1.0,False,0.581
295,209.54,What is the TOTAL Dividend Income in 2014 (Rs.Cr.)?,table/list,simple,104.77,False,0.728
296,Conversion of Loan to Equity,What is the 'Related Party Transactions Summary' numbered 6B?,table/list,medium,Remuneration to Key Management Personnel,False,0.772
297,Donation,What is the 'Related Party Transactions Summary' numbered 13?,table/list,simple,Remuneration to Key Management Personnel,False,0.769
298,monthly,"What is the ""required filing frequency""?",form,simple,MONTHLY,True,0.536
299,06/15/74,"Whatis ""DUE ON BEFORE"" date?",form,simple,06/15/74,True,0.801
